clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Candidatus_Gastranaerophilales_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02821,0.0,0.0,0.57608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389,0.0,0.0,0.0,0.0,0.0
Akkermansiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31956,0.0,0.4034,0.0,0.0,0.0,0.0,0.00029,0.10391,0.0,7.81547,1.80063,0.0,0.0,0.00273,0.0,0.0,0.0,0.36403,0.00556,0.0,0.0,0.0,0.00313,0.0,0.288,0.04648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21182,0.0,0.0,0.0,0.00395,0.0,0.0,0.00793,0.0,0.16715,1.46565,0.0,0.0,0.0,0.0,0.09487,0.0,0.02959,0.00512,0.0,0.0,0.77196,0.0,0.10082,0.0,0.0,0.0,0.04841,0.80016,0.06969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05543,0.0,0.0,0.0,0.00111,1.51055,0.00721,0.00102,0.0,0.00732,0.0,0.0,0.0,0.03079,0.0
Staphylococcaceae,0.00446,0.0,0.0,0.0,0.0,0.40303,0.16945,0.98774,0.15643,0.0,0.0,0.0,0.08244,0.0,0.11464,1.95623,0.12195,0.0,0.01845,0.0,0.0046,0.52935,0.0,8.19803,0.0,0.05946,0.65349,0.01962,0.0,0.0,0.0,0.0,0.01047,0.0,0.0,0.0,0.0,0.73083,0.0,0.0,0.0,0.12092,0.0,0.0,0.04122,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0,0.00056,0.53319,0.0,0.0,0.0,0.57047,0.0,0.0,7e-05,0.0,0.0,0.0,0.61164,9e-05,0.0,0.00246,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52177,0.0
Clostridiales_unclassified,0.02285,0.1055,0.0438,0.14354,0.0,0.03869,0.0,0.06707,0.0,0.01561,0.03664,0.0,0.06377,0.0,0.09031,0.00857,0.01477,0.08421,0.34514,0.03721,0.0,0.00141,0.0,0.00291,0.20108,0.03962,0.01432,0.05862,0.0,0.2142,0.20228,0.03661,0.00173,0.05849,0.10421,0.0326,0.0,0.01967,0.00485,0.01848,0.00713,0.02762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01779,0.01202,0.0,0.0,0.00674,0.0,0.01832,0.0,0.08035,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.0,0.03599,0.02115,0.0,0.0,0.0,0.0,0.0,0.0,0.05769,0.0,0.0013,0.0,0.0,0.0191,0.0,0.0,0.0,0.0,0.01517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corynebacteriaceae,0.0,0.0,0.12951,0.0,0.0,0.31444,0.0,0.0,0.0,0.24206,0.0,0.0,0.31574,0.31807,0.0,0.06415,0.0,0.0,0.0,0.0,0.0,0.08193,0.0,0.0,0.0,0.03723,2.00973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00161,0.0,0.0,0.0,0.0,0.12145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02146,0.0,0.0,0.01779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168,0.0
Coriobacteriaceae,0.0,0.07232,0.0,0.01503,0.0,0.05014,0.0,0.27927,0.0,0.13625,0.15266,0.0,0.11725,0.01642,0.11251,0.1534,0.0,0.2416,0.09893,0.0901,0.06899,0.01571,0.02978,0.03211,0.0,0.01798,0.16687,0.07422,0.09611,0.15699,0.2833,0.0269,0.05436,0.0,0.0,0.15749,0.02266,0.04895,0.03492,0.25556,0.03443,0.00046,0.0,0.00154,0.03794,0.0,0.01665,0.04151,0.00297,0.00052,0.16162,0.00934,0.00193,0.0,0.03728,0.07693,0.00314,0.0,0.0,0.0,0.00273,0.06779,0.00516,0.0,0.04997,0.00097,0.01694,0.0,0.0,0.03272,0.75872,0.06748,0.0,0.02555,0.0,0.0,0.05981,0.02508,0.0,0.11261,0.00355,0.0,0.07644,0.0,0.0,0.00332,0.25368,0.06903,0.00184,0.14134,0.0,0.03069,0.0,0.04081,0.00171,0.16111,0.0169
Chromatiaceae,0.07409,0.00092,0.0,0.0,0.0,0.03087,0.04313,0.00214,0.0,0.06178,0.02485,0.0,0.03676,0.0,0.02071,0.0,0.04735,0.02945,0.00975,0.00469,0.0,0.05031,0.01885,0.0,0.0,0.05699,0.03609,0.0,0.01201,0.10642,0.05022,0.04056,0.03099,0.057,0.01745,0.05645,0.0273,0.01157,0.01515,0.0,0.01761,0.12481,0.01001,0.0,0.02748,0.0,0.0,0.0,0.0,0.00798,0.00104,0.0,0.0,0.00713,0.0,0.0,0.05981,0.0,0.02213,0.01994,0.01394,0.0,0.0,0.00602,0.00732,0.0,0.0,0.0,0.0,0.00131,0.02387,0.0,0.0,0.0,0.0,0.0,0.0,0.01926,0.0,0.00327,0.00411,0.0,0.04505,0.0,0.0,0.0,0.05002,0.07458,0.02137,0.00422,0.0,0.0,0.12371,0.0,0.08505,0.02845,0.0
Methylobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28102,0.0,0.0,0.0,0.0,0.0,0.0,0.18775,0.0,0.0,0.0,0.0,0.0,0.0,0.0294,0.23068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02527,0.0,0.0,0.00457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christensenellaceae,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.00026,0.0,0.02779,0.0,0.0,0.00087,0.0,0.01922,0.00594,0.0,0.00781,0.01101,0.0,0.0,0.0,0.0,0.0,0.0,0.02387,0.00153,0.0,0.0,0.0,0.0042,0.00123,0.0,0.0,0.05109,0.0,0.0,0.00964,0.00228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-05,0.0,0.0,0.0,0.00147,0.0,0.0,0.0,0.0,0.00162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109,0.0,0.0,0.00293,0.00543,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.00196,0.0
Eggerthellaceae,0.02864,0.04483,0.0,0.0,0.07728,0.06101,0.17224,0.06368,0.00177,0.00055,0.01352,0.0,0.05102,0.0,0.04718,0.22346,0.14195,4.9013,0.01825,0.00471,0.01075,0.0,0.0,0.0,0.0,0.045,0.10371,0.16555,0.0176,0.0665,0.03076,0.0,0.30577,0.03631,0.07464,0.0193,0.01284,0.0628,0.03556,0.01212,0.03421,0.0138,0.0,0.0,0.02346,0.0,0.0,0.00119,0.0,0.15259,0.02848,0.03006,0.0,0.00369,0.0,0.06473,0.02482,0.0,0.00234,0.00287,0.0,0.02389,0.0,0.01342,7.15719,0.00332,0.0,0.0,0.00196,0.00283,0.04566,0.08541,0.0,0.01772,0.00944,0.0,0.0,0.04363,0.02973,0.0,0.00311,0.0,0.01026,0.0,0.00068,0.01337,0.06238,0.01104,0.00314,0.00588,0.0,0.00704,0.0,0.02564,0.01544,0.24726,0.0
