clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Candidatus_Melainabacteria_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02821,0.0,0.0,0.57608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389,0.0,0.0,0.0,0.0,0.0
Verrucomicrobiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31956,0.0,0.4034,0.0,0.0,0.0,0.0,0.00029,0.10391,0.0,7.81547,1.80063,0.0,0.0,0.00273,0.0,0.0,0.0,0.36403,0.00556,0.0,0.0,0.0,0.00313,0.0,0.288,0.04648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21182,0.0,0.0,0.0,0.00395,0.0,0.0,0.00793,0.0,0.16715,1.46565,0.0,0.0,0.0,0.0,0.09487,0.0,0.02959,0.00512,0.0,0.0,0.77196,0.0,0.10082,0.0,0.0,0.0,0.04841,0.80016,0.06969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05543,0.0,0.0,0.0,0.00111,1.51055,0.00721,0.00102,0.0,0.00732,0.0,0.0,0.0,0.03079,0.0
Coriobacteriia,0.02864,0.11714,0.0,0.01503,0.07728,0.11115,0.17224,0.34296,0.00177,0.1368,0.16619,0.0,0.16827,0.01642,0.15969,0.37686,0.14195,5.1429,0.11719,0.09481,0.07974,0.01571,0.02978,0.03211,0.0,0.06298,0.27784,0.23976,0.11371,0.2235,0.31406,0.0269,0.36013,0.03631,0.07593,0.17679,0.0355,0.11176,0.07048,0.26995,0.06864,0.01426,0.0,0.00154,0.06141,0.0,0.01665,0.0427,0.00297,0.16346,0.1901,0.0394,0.00193,0.00369,0.03728,0.14165,0.03328,0.0,0.00234,0.02939,0.00273,0.09169,0.00516,0.01342,7.20717,0.01144,0.01694,0.0,0.00196,0.03555,0.80438,0.15289,0.0,0.04868,0.03541,0.0,0.05981,0.06871,0.02973,0.11261,0.00683,0.0,0.0867,0.00783,0.01253,0.02005,0.46128,0.08007,0.00498,0.15858,0.0,0.03772,0.0,0.06795,0.01715,0.40837,0.0169
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02535,0.0683,0.00998,0.0,0.0,0.0,0.0,0.0,0.00982,0.88003,0.0,0.0,0.0,0.0,0.08177,0.0,0.29308,0.0,0.0,0.00372,0.0,0.0,0.00421,3.05468,1.77366,0.00021,0.0,0.0,0.0,0.0,0.03256,0.23068,0.00156,0.0,0.0,0.0,0.0,0.0019,0.00765,0.0,0.0,0.0,0.0,0.0,0.01682,0.0,0.0,0.0,0.0,0.00061,0.0,0.00502,0.00554,0.0,0.0,0.0,0.0,0.02237,0.00257,0.0,0.0,0.0,0.0,0.0,0.02527,0.0,0.0,0.00457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106,0.0,0.0005,0.0,0.0
Flavobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075,0.0,0.0,0.0,0.0,0.05267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05855,0.0,0.0,0.07665,0.0,0.0,0.0,0.01442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03662,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01109
Lentisphaeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05736,0.0,0.0,0.05242,0.0,0.00928,0.0,0.0,0.0,0.0,0.0,0.10289,0.0,0.01094,0.0,0.03654,0.0,0.04666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85665,0.00129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.15954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05645,0.0
Synergistia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95067,0.0,0.0,0.0,0.0,0.00395,0.0,0.0,0.00725,0.14885,0.08987,0.24645,0.0,0.00526,0.00481,0.0,0.0,0.0,0.07634,0.00074,0.0,0.0,0.0,0.10465,0.01824,0.01078,0.0,0.0,0.0,0.0,0.0,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448,0.0,0.0,0.0,0.0,0.07179,0.00646,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00419,0.18139,0.0,0.0,0.00992,0.0,0.0,0.0,0.00139,0.0,0.0,0.0
Tissierellia,0.03693,0.01639,0.0,0.0,0.0,0.0,0.0,0.00071,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.01956,0.0,0.0,0.00447,0.0,0.0,0.0,0.0,0.0,0.0,0.01397,0.0,0.0,0.0,0.00433,0.0,0.0,0.33716,0.0,0.0,0.0,0.0,0.00321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04837,0.0,0.0,0.0,0.0,0.04128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00672,0.57868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sphingobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07127,0.0,0.0,0.0,0.0,0.0,0.0,0.00277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epsilonproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08317,0.0,0.0,0.2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071,0.0,0.0,0.0,0.84084,0.0,0.03967,0.1484,0.01233,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,0.02129,0.0,0.29313,0.0,0.0,0.02394,0.27239,0.00021,0.50232,0.08371,0.0,0.0,0.0,0.0,0.0,0.0,0.24342,0.0,0.00092,0.0,0.0,0.0,0.0,0.33153,0.0,0.0,0.03692,0.18221,0.04054,0.0,0.0,0.02833,0.00039,0.06782,0.01155,0.0,0.07544,0.0,0.00071,0.0
Candidatus_Saccharibacteria_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00415,0.0,0.0,0.0,0.00465,0.0,0.0,0.0,0.0,0.0,0.0,0.00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00469,0.0,0.0,0.0,0.0,0.00699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033,0.00487,0.0,0.0,0.0,0.0,0.0,0.00132,0.01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00951,0.00574,0.01238,0.00995,0.0,0.0,0.0,0.0,0.00349,0.0,0.00649,0.00454,0.0,0.0
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus_Nanosyncoccalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01287,0.0,0.0,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus_Saccharimonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246,0.0,0.0,0.0,0.00687,0.00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074,0.00135,0.0,0.0,0.0,0.0,0.00134,0.00102,0.0,0.0,0.00243,0.0,0.01225,0.00182,0.0,0.00031,0.0,0.0,0.00122,0.0016,0.01258,0.0,0.0,0.0
Mollicutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156,0.0,0.0,0.0,0.0,0.0
