clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Turicibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062,0.0,0.0,0.0,0.00874,0.0,0.0,0.0,0.0,0.0,0.00763,0.0,0.0,0.00109,0.00233,0.0,0.01139,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284,0.0,0.0,0.0,0.0,0.02178,0.06422,0.0,0.0,0.0,0.0,0.0,0.01228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00726,0.08241,0.0,0.0,0.03396,0.0,0.0,0.0,0.02378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00951,0.03469
Anaerostipes,0.02177,0.14181,0.41944,0.05985,0.0,0.1909,0.40985,0.0321,0.97774,0.03277,0.0567,0.41412,0.30961,0.31029,0.81049,0.06207,0.05921,0.21954,0.07186,0.09905,0.01848,0.05331,0.03103,0.22919,0.33707,0.02645,0.07513,0.01,0.25414,0.89819,0.0259,0.12257,0.09703,0.16415,0.51432,0.30389,0.03306,0.33436,0.06419,0.02891,0.2302,0.13255,0.0,0.0,0.00058,0.0,0.0,0.03105,0.0197,0.15552,0.22877,0.0,0.05486,0.01554,0.0,0.00167,0.12796,0.0,0.06447,0.02791,0.0054,0.0,0.0,0.11791,0.03224,2.17936,0.04285,0.0,0.38301,0.10415,0.18845,0.0826,0.0,0.2231,0.0,0.29077,0.0,0.29494,0.14669,0.00713,0.01938,0.0,0.18183,7.51466,0.55143,0.03403,0.17503,0.36787,0.1001,0.01718,0.0,0.81143,0.1063,0.04626,0.10732,0.11439,0.2154
Fusicatenibacter,0.02404,0.22456,0.22919,0.0,0.07207,0.2585,0.22692,0.05557,0.21415,0.08025,0.09895,0.0,0.5168,0.79537,0.25715,0.24178,0.41839,0.19624,0.90754,0.13456,0.10287,0.04549,0.08118,0.32709,1.00378,0.10914,0.25506,0.42725,0.67565,1.19114,0.54823,0.27123,0.12667,0.3991,0.00225,0.24878,0.05643,0.28901,0.07954,0.61643,0.67278,0.17767,0.03273,0.01932,0.02994,0.0,0.0,0.04989,0.03152,0.48489,0.89044,0.29228,0.01216,0.06945,0.00024,0.0,0.02225,0.14381,0.03415,0.2003,0.0,0.0,0.36189,0.07401,0.17837,0.00773,0.03777,0.0,0.12644,0.11364,0.70786,0.60573,0.11784,0.0,0.0,0.85139,0.0,0.05048,0.00154,0.02014,0.03879,0.0,0.34626,0.0,0.32922,0.13571,0.0,0.19836,0.08769,0.58189,0.0,1.05793,0.00202,0.0,0.06136,0.07468,0.38396
Lachnospiraceae_unclassified,0.16627,1.23523,0.0,0.76461,1.85644,5.32209,0.00023,0.8708,0.4684,0.72197,2.9426,0.0,1.04253,0.02687,1.77195,0.74204,0.18008,0.4887,0.81823,3.5724,0.98755,1.99422,0.00868,1.80677,0.0,4.02271,5.45897,0.83201,0.4712,0.64576,0.87977,0.44275,0.22038,1.29352,0.27819,1.3078,0.04244,1.52306,0.19149,4.58275,0.3155,1.91639,0.0,0.16033,0.17672,0.00632,1.05534,0.048,0.07022,1.68679,4.34264,0.28571,0.0,0.1253,0.17726,0.53831,0.01121,0.0,0.44305,0.08846,0.21879,0.0017,0.15541,0.01981,0.50693,0.16617,0.28851,0.0,4.06399,3.48478,0.83265,3.48471,2.99915,0.10684,0.0,0.5151,0.61435,1.34614,0.01993,0.0784,0.10108,0.0,4.52705,0.00623,0.19964,2.4839,0.00483,0.32943,6.6106,0.57984,0.0,0.02338,0.016,0.01078,0.00704,1.36343,0.05245
Fusobacterium,0.70865,0.47325,0.0,0.0,0.0,0.0,0.0,0.0,2.57472,0.0017,2.55426,0.0,0.61803,1.42686,0.0,0.0,0.0,0.0,0.0725,0.0,0.0,0.0,0.09528,0.0,4.75595,0.0,0.0,0.0,0.0228,0.0,0.0,0.0,0.0,0.03049,0.02664,2.08724,1.78178,0.0,0.01715,0.01328,0.0,0.02944,0.44473,0.0,0.00263,1.97743,0.01214,1.33631,0.27334,0.107,1.12251,0.15726,7.1096,0.0,0.2306,0.0,0.00054,0.08259,0.0,0.87543,0.0,0.06445,0.00333,0.46087,0.0,1.38242,0.17962,0.0,0.02013,0.00555,0.67494,0.05147,0.0,4.22853,0.11435,0.13286,0.0,0.0,2.09998,0.0004,1.13155,0.0,0.04136,2.61292,0.01319,0.76725,0.04095,0.0,0.00722,0.05646,2.79044,0.56713,3.21757,6.5515,0.01388,0.00767,9.56537
Holdemanella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51791,0.0,0.0,0.0,0.0,0.09367,0.0,0.0,0.51132,0.0,0.0,0.08003,0.0,0.03713,0.19917,0.0,0.0,0.0,0.0,0.08985,0.32239,0.3563,0.0,0.0,0.0,0.16909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55142,0.0,0.0,0.0,0.05348,0.0,0.30256,0.0,0.0,0.0,0.44512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86717,0.0,0.0,0.0,0.0,0.0,0.0,0.03131
Coprococcus,0.0,1.9795,0.0,0.00089,2.2242,0.05564,0.07635,1.12383,0.23179,0.6148,0.09844,0.0,0.18855,0.07584,5.24485,1.31278,0.30956,0.45196,0.14736,0.23894,0.28548,0.0332,0.01518,1.1842,0.09426,2.3378,0.80365,0.57408,0.33779,0.0,0.12336,0.16768,1.55718,0.21746,0.0,0.03129,0.00386,0.64562,0.25259,0.0,0.59014,0.0,0.03958,0.04138,0.09582,0.0,0.0,0.64605,0.0236,0.04768,0.16815,0.10165,0.0,0.0175,0.34246,0.0,0.00904,0.0,0.54276,0.06032,0.85171,0.0,0.00736,0.0,0.21147,0.0,0.84046,0.0,0.05685,0.12552,0.05548,0.19454,0.0,0.0,0.0,0.00428,0.0,0.01024,0.0,0.68742,0.0,0.0,0.0758,0.04208,0.0,0.02332,0.0,0.0,0.05352,0.38259,0.0,0.0,0.0,0.0,0.00024,0.14292,0.01315
Lacrimispora,0.20584,0.14864,0.31808,1.93297,0.07779,0.37219,1.16652,0.23308,0.30178,0.03642,0.14761,3.48588,0.31607,0.99163,0.02625,0.06726,0.03196,0.04269,0.06108,0.41941,0.14948,0.04119,0.24648,0.34759,0.0,0.00039,0.28254,0.04022,0.21393,0.27522,0.06806,0.48723,0.07558,0.18572,0.48112,0.16398,0.53493,0.0582,0.09812,0.26435,0.00652,0.32438,0.16434,0.03599,0.1415,0.05532,0.09756,0.66776,0.0,0.28136,0.24871,0.73519,0.09163,0.20736,0.23578,0.0,0.58038,0.0,0.38027,0.07286,0.05413,0.0,0.0953,0.38441,0.76476,0.24095,0.22253,0.0,0.0,0.17668,0.06863,0.11823,0.13693,0.0,0.0,0.25634,0.10421,0.1355,0.0,0.07339,0.26835,0.0,0.42905,0.0,0.0208,0.00051,0.69803,0.19833,0.52716,0.01931,0.0,0.25257,0.0,0.04124,0.40787,0.07211,0.15926
Dorea,0.11451,0.19141,0.07356,0.02158,0.0,0.26198,0.23036,0.13006,0.20701,0.18424,0.14019,0.0,0.09713,0.07663,0.28837,0.27558,0.09216,0.28987,0.09939,0.14687,0.09686,0.08939,0.01762,0.00534,0.06694,0.12838,0.15766,0.18675,0.39181,0.26916,0.23591,0.16175,0.17639,0.0,0.0,0.45752,0.16192,0.27125,0.09093,0.23274,0.14218,0.16849,0.04345,0.00456,0.07718,0.0,0.04326,0.16967,0.13868,0.08248,0.33134,0.58969,0.02424,0.00725,0.03237,0.0,0.00142,0.08779,0.0724,0.10414,0.03091,0.00879,0.01696,0.09875,0.15748,0.81575,0.11099,0.0,0.13659,0.06567,0.17356,0.28212,0.0,0.0,0.0,1.12346,0.07301,0.10269,0.0,0.13213,0.05732,0.0,0.12037,0.37571,0.05738,0.20657,0.13389,0.3603,0.30216,0.4574,0.0,0.07865,0.27399,0.14711,0.20046,0.08805,0.27363
Parabacteroides,2.23885,1.29357,1.39014,2.3166,0.21897,0.76415,2.57539,1.24537,1.60469,0.74481,1.76915,0.0,0.58161,1.01153,1.20707,1.10124,1.16237,3.3449,1.58782,0.34434,0.41867,1.2269,0.59545,0.56032,3.09959,0.83157,0.4438,1.87221,1.28566,1.01076,1.81714,1.82067,0.48964,2.96033,2.10459,1.6408,3.94928,1.0997,2.80658,0.21431,1.36415,0.25002,0.80478,0.89908,0.7713,0.30126,0.30744,0.58446,8.69947,0.67453,0.36561,0.99159,0.42565,0.81914,0.43073,0.0,1.62006,0.81349,1.22603,1.30757,3.93256,1.4279,0.58582,0.75719,1.28515,1.33716,1.01946,0.0,1.46122,0.47704,1.83588,1.37092,2.0044,2.46817,5.34901,0.3452,0.80223,0.95029,1.36382,0.30836,0.06397,0.0,0.71852,0.00791,0.57003,0.4697,3.46293,0.85885,0.38662,1.02014,2.94755,0.00995,1.36269,3.2477,1.60178,0.74406,0.07741
